Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
3452514 341 Ty D ,Plant 03 Denison ,Unmodified,4,64-22,14,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"26,06","9,48","31,06","66,60",495,126,535,1156,1592,N/A,N/A,1592,130,N/A,0,130,https://asphaltepd.org/epd/d/5mU5Dx/
3452547 3076 Ty D ,Plant 03 Denison ,Unmodified,5,64-22,12,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"29,45","9,17","31,06","69,68",561,122,535,1218,1811,N/A,N/A,1811,112,N/A,0,112,https://asphaltepd.org/epd/d/LDUvdx/
3522501 341 Ty D ,Plant 03 Denison ,Unmodified,5,64-22,14,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"30,63","10,35","31,06","72,04",584,137,535,1256,1889,N/A,N/A,1889,129,N/A,0,129,https://asphaltepd.org/epd/d/mYUBrB/
10095203 Grd 3 Pre-coat ,Plant 07 Paris ,Unmodified,1,64-22,-,-,-,-,-,other,HMA,132-149,-,-,-,-,"7,47","8,67","21,25","37,40",135,115,360,611,372,N/A,N/A,372,0,N/A,0,0,https://asphaltepd.org/epd/d/1AU2KL/
10095204 Grd 4 Pre-coat ,Plant 07 Paris ,Unmodified,1,64-22,-,-,-,-,-,other,HMA,132-149,-,-,-,-,"7,47","8,67","21,25","37,40",135,115,360,611,372,N/A,N/A,372,0,N/A,0,0,https://asphaltepd.org/epd/d/bBUGLz/
3252509 ,Plant 07 Paris ,Unmodified,4,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"24,74","7,66","21,25","53,65",469,102,360,931,1503,N/A,N/A,1503,174,N/A,0,174,https://asphaltepd.org/epd/d/4RURED/
3352508 ,Plant 07 Paris ,Unmodified,4,64-22,15,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"28,05","8,00","21,25","57,30",532,106,360,998,1659,N/A,N/A,1659,139,N/A,0,139,https://asphaltepd.org/epd/d/YqUzmB/
3352513 ,Plant 07 Paris ,Unmodified,4,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"25,09","8,28","21,25","54,63",474,110,360,945,1469,N/A,N/A,1469,174,N/A,0,174,https://asphaltepd.org/epd/d/rQUDrA/
3352514 ,Plant 07 Paris ,Unmodified,4,64-22,29,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"27,73","7,55","21,25","56,54",525,100,360,986,1648,N/A,N/A,1648,260,N/A,0,260,https://asphaltepd.org/epd/d/OPUaD6/
3352515 ,Plant 07 Paris ,Unmodified,4,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-163,-,-,-,-,"27,03","9,08","21,25","57,37",512,121,360,993,1595,N/A,N/A,1595,174,N/A,0,174,https://asphaltepd.org/epd/d/KoUaJL/
